,Country,Happiness Score_x,GDP_x,Generosity_x,Year_x,Happiness Score_y,GDP_y,Generosity_y,Year_y,Happiness Score_x,GDP_x,Generosity_x,Year_x,Happiness Score_y,GDP_y,Generosity_y,Year_y,Happiness Score_x,GDP_x,Generosity_x,Year_x,Happiness Score_y,GDP_y,Generosity_y,Year_y,Happiness Score,GDP,Generosity,Year
21,Oman,6.853,1.36011,0.21541999999999997,2015,,,,,,,,,,,,,,,,,,,,,,,,
22,Venezuela,6.81,1.04424,0.058410000000000004,2015,6.084,1.1336700000000002,0.0425,2016,5.25,1.12843120098114,0.0650196298956871,2017,4.806,0.996,0.055999999999999994,2018,4.707,0.96,0.064,2019,5.053199768,0.7702386379999999,0.08717915400000001,2020,4.8919999999999995,0.852,0.078,2021
23,Singapore,6.797999999999999,1.52186,0.31105,2015,6.739,1.64555,0.32706,2016,6.57200002670288,1.69227766990662,0.345965981483459,2017,6.343,1.5290000000000001,0.261,2018,6.2620000000000005,1.5719999999999998,0.271,2019,6.377099991000001,1.519580126,0.21877090600000001,2020,6.377000000000001,1.695,0.17600000000000002,2021
24,Panama,6.7860000000000005,1.0635299999999999,0.24434,2015,6.7010000000000005,1.18306,0.2418,2016,6.4520001411438,1.23374843597412,0.21055693924427,2017,6.43,1.112,0.125,2018,6.321000000000001,1.149,0.109,2019,6.304800033999999,1.097667813,0.097207308,2020,6.18,1.298,0.079,2021
25,Germany,6.75,1.32792,0.28214,2015,6.994,1.44787,0.30451999999999996,2016,6.9510002136230495,1.48792338371277,0.33626917004585305,2017,6.965,1.34,0.273,2018,6.985,1.3730000000000002,0.261,2019,7.075799942000001,1.314184546,0.252037704,2020,7.155,1.48,0.195,2021
26,Chile,6.67,1.10715,0.33363000000000004,2015,6.705,1.2167,0.31595,2016,6.65199995040894,1.25278460979462,0.3266624212265011,2017,6.476,1.131,0.19699999999999998,2018,6.444,1.159,0.187,2019,6.228499889,1.096992493,0.155579001,2020,6.172000000000001,1.2,0.159,2021
27,Qatar,6.611000000000001,1.69042,0.32573,2015,6.375,1.82427,0.32388,2016,6.375,1.8707656860351598,0.33047387003898604,2017,6.374,1.649,0.256,2018,6.374,1.6840000000000002,0.22,2019,,,,,,,,
28,France,6.575,1.27778,0.12332,2015,6.478,1.39488,0.1216,2016,6.44199991226196,1.43092346191406,0.129762306809425,2017,6.489,1.2930000000000001,0.098,2018,6.5920000000000005,1.324,0.111,2019,6.663799762999999,1.268129349,0.112607703,2020,6.69,1.421,0.092,2021
29,Argentina,6.574,1.05351,0.11450999999999999,2015,6.65,1.15137,0.10989000000000002,2016,6.59899997711182,1.18529546260834,0.109457060694695,2017,6.388,1.073,0.062,2018,6.086,1.092,0.066,2019,5.974699974,1.028465629,0.070100471,2020,5.928999999999999,1.162,0.069,2021
30,Czech Republic,6.505,1.17898,0.10686,2015,6.596,1.30915,0.09929,2016,6.60900020599365,1.35268235206604,0.0881067588925362,2017,6.711,1.2329999999999999,0.064,2018,6.852,1.2690000000000001,0.046,2019,6.9109001160000005,1.212322354,0.046325929,2020,6.965,1.37,0.052000000000000005,2021
