,Country,Region,2015Happiness,2015GDP,2015Generosity,2015Trust (Government Corruption),2016Happiness,2016GDP,2016Generosity,2016Trust (Government Corruption),2017Happiness,2017GDP,2017Generosity,2017Trust (Government Corruption),2018Happiness,2018GDP,2018Generosity,2018Trust (Government Corruption),2019Happiness,2019GDP,2019Generosity,2019Trust (Government Corruption),2020Happiness,2020GDP,2020Generosity,2020Trust (Government Corruption),2021Happiness,2021GDP,2021Generosity,2021Trust (Government Corruption)
64,Estonia,Central and Eastern Europe,5.429,1.15174,0.0868,0.15184,5.517,1.27964,0.08423,0.18519,5.611000061,1.32087934,0.098890811,0.183248922,5.739,1.2,0.086,0.174,5.893,1.237,0.103,0.161,6.021800041,1.192441225,0.125136748,0.623073816,6.189,1.344,0.119,0.527
65,Indonesia,Southeastern Asia,5.399,0.82827,0.51535,0,5.314,0.95104,0.56521,0.00322,5.262000084,0.995538592,0.611704588,0.015317135,5.093,0.899,0.484,0.018,5.192,0.931,0.498,0.028,5.285600185,0.891720712,0.542646527,0.876296401,5.345,0.954,0.541,0.867
66,Vietnam,Southeastern Asia,5.36,0.63216,0.1686,0.10441,5.061,0.74037,0.25075,0.11556,5.073999882,0.788547575,0.234968051,0.087633237,5.103,0.715,0.177,0.079,5.175,0.741,0.147,0.073,5.353499889,0.718092382,0.136488721,0.79642123,5.411,0.817,0.124,0.796
67,Turkey,Middle East and Northern Africa,5.332,1.06098,0.12253,0.15746,5.389,1.16492,0.04707,0.12348,5.5,1.198274374,0.046693042,0.09967158,5.483,1.148,0.106,0.109,5.373,1.183,0.083,0.106,5.131800175,1.127169251,0.085885569,0.748197377,4.948,1.26,0.097,0.776
68,Kyrgyzstan,Central and Eastern Europe,5.286,0.47428,0.3003,0.04232,5.185,0.56044,0.38432,0.04762,5.004000187,0.596220076,0.428580374,0.039439179,5.131,0.53,0.281,0.035,5.261,0.551,0.3,0.023,5.541500092,0.513180971,0.30137074,0.888396084,5.744,0.665,0.266,0.908
69,Nigeria,Sub-Saharan Africa,5.268,0.65435,0.27233,0.0403,4.875,0.75216,0.23219,0.0305,5.073999882,0.783756256,0.230947196,0.026121566,5.155,0.689,0.201,0.032,5.265,0.696,0.215,0.041,4.724100113,0.645901859,0.221328124,0.861874342,4.759,0.663,0.212,0.878
70,Azerbaijan,Central and Eastern Europe,5.212,1.02389,0.07799,0.16065,5.291,1.12373,0.0564,0.17914,5.234000206,1.153601766,0.04526934,0.180987507,5.201,1.024,0.031,0.176,5.208,1.043,0.035,0.182,5.164800167,0.990272701,0.040113214,0.55253756,5.171,1.025,0.043,0.506
71,Pakistan,Southern Asia,5.194,0.59543,0.33671,0.10464,5.132,0.68816,0.31185,0.1388,5.269000053,0.726883531,0.315446019,0.124348067,5.472,0.652,0.216,0.113,5.653,0.677,0.22,0.098,5.69329977,0.616799474,0.228705063,0.745705426,4.934,0.637,0.252,0.787
72,Jordan,Middle East and Northern Africa,5.192,0.90198,0.11053,0.14293,5.303,0.99673,0.14262,0.13297,5.335999966,0.991012394,0.17217046,0.119803272,5.161,0.822,0.13,0.134,4.906,0.837,0.11,0.13,4.633399963,0.785179198,0.091494769,0.700344324,4.395,0.89,0.079,0.705
73,Montenegro,Central and Eastern Europe,5.192,0.97438,0.1614,0.14296,5.161,1.07838,0.17191,0.12721,5.236999989,1.121129036,0.197911024,0.088174194,5.347,1.017,0.111,0.081,5.523,1.051,0.142,0.08,5.54610014,1.010150075,0.14901033,0.783121586,5.581,1.155,0.166,0.812
